time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
0	0.23570226039551587	0.0	0.0	0.0	0.09471550366212667	ASSISTANT>USER	CCPE100-CCPE486-cond1
1	0.2581988897471611	0.2581988897471611	0.0	0.0	0.17803506393930135	USER>ASSISTANT	CCPE100-CCPE486-cond1
2	0.13693063937629152	0.184506241605777	0.0	0.0	0.45840893280707595	ASSISTANT>USER	CCPE100-CCPE486-cond1
3	0.3086066999241838	0.4288246465719977	0.0	0.0	0.52180335742387	USER>ASSISTANT	CCPE100-CCPE486-cond1
4	0.0	0.0	0.0	0.0	0.3082222255129916	ASSISTANT>USER	CCPE100-CCPE486-cond1
5	0.0	0.0	0.0	0.0	0.0740826103886496	USER>ASSISTANT	CCPE100-CCPE486-cond1
6	0.10101525445522107	0.10101525445522107	0.0	0.0	0.14906790791647107	ASSISTANT>USER	CCPE100-CCPE486-cond1
7	0.0944911182523068	0.1889822365046136	0.0944911182523068	0.1889822365046136	0.3955089223862879	USER>ASSISTANT	CCPE100-CCPE486-cond1
8	0.20203050891044214	0.19611613513818402	0.0	0.0	0.6223111311676498	ASSISTANT>USER	CCPE100-CCPE486-cond1
9	0.11664236870396087	0.11322770341445959	0.0	0.0	0.46153927014782625	USER>ASSISTANT	CCPE100-CCPE486-cond1
10	0.0	0.0	0.0	0.0	0.29103193057843857	ASSISTANT>USER	CCPE100-CCPE486-cond1
11	0.0	0.22360679774997896	0.0	0.0	0.2706260515557989	USER>ASSISTANT	CCPE100-CCPE486-cond1
12	0.06933752452815364	0.2041241452319315	0.0	0.0	0.35599859153976343	ASSISTANT>USER	CCPE100-CCPE486-cond1
13	0.2631174057921088	0.3442651863295481	0.0	0.04343722427630693	0.6058290255672141	USER>ASSISTANT	CCPE100-CCPE486-cond1
14	0.16035674514745463	0.24112141108520607	0.0	0.0	0.4747463763850517	ASSISTANT>USER	CCPE100-CCPE486-cond1
0	0.0	0.0	0.0	0.0	0.4609356024942528	ASSISTANT>USER	CCPE102-CCPE430-cond1
1	0.0	0.0	0.0	0.0	0.434470010038675	USER>ASSISTANT	CCPE102-CCPE430-cond1
2	0.0	0.09128709291752768	0.0	0.0	0.6179728317720027	ASSISTANT>USER	CCPE102-CCPE430-cond1
3	0.08333333333333333	0.15811388300841897	0.08333333333333333	0.08333333333333333	0.5072486732496289	USER>ASSISTANT	CCPE102-CCPE430-cond1
4	0.0	0.0	0.0	0.0	0.256497044810029	ASSISTANT>USER	CCPE102-CCPE430-cond1
5	0.20412414523193148	0.20412414523193148	0.0	0.0	0.3673553820636952	USER>ASSISTANT	CCPE102-CCPE430-cond1
6	0.2626128657194451	0.31750031750047625	0.0	0.0	0.5623348258082415	ASSISTANT>USER	CCPE102-CCPE430-cond1
7	0.12379689211803459	0.11973686801784995	0.0	0.0	0.6128500864391422	USER>ASSISTANT	CCPE102-CCPE430-cond1
8	0.3333333333333333	0.3442651863295481	0.0890870806374748	0.16666666666666666	0.37444198874520807	ASSISTANT>USER	CCPE102-CCPE430-cond1
9	0.0	0.0	0.0	0.0	0.37018281086765414	USER>ASSISTANT	CCPE102-CCPE430-cond1
10	0.1556997888323046	0.21938172723813917	0.0	0.0	0.3253361542742399	ASSISTANT>USER	CCPE102-CCPE430-cond1
11	0.09128709291752767	0.25724787771376323	0.0	0.0	0.2426978583155197	USER>ASSISTANT	CCPE102-CCPE430-cond1
12	0.0	0.0	0.0	0.0		ASSISTANT>USER	CCPE102-CCPE430-cond1
13	0.0	0.0	0.0	0.0		USER>ASSISTANT	CCPE102-CCPE430-cond1
14	0.19611613513818404	0.40269363312841466	0.0	0.0	0.5934114910384828	ASSISTANT>USER	CCPE102-CCPE430-cond1
0	0.07559289460184544	0.0	0.0	0.0	0.29529881902496413	ASSISTANT>USER	CCPE103-CCPE46-cond1
1	0.26666666666666666	0.3015113445777637	0.0	0.0	0.4917813921550709	USER>ASSISTANT	CCPE103-CCPE46-cond1
2	0.0	0.10050378152592121	0.0	0.0	0.23642532618006262	ASSISTANT>USER	CCPE103-CCPE46-cond1
3	0.21081851067789195	0.21081851067789195	0.0	0.0	0.20132600804339928	USER>ASSISTANT	CCPE103-CCPE46-cond1
4	0.253546276418555	0.253546276418555	0.0	0.0	0.2717642224529849	ASSISTANT>USER	CCPE103-CCPE46-cond1
5	0.2834733547569204	0.2834733547569204	0.0	0.0		USER>ASSISTANT	CCPE103-CCPE46-cond1
6	0.1889822365046136	0.2651650429449553	0.0	0.0		ASSISTANT>USER	CCPE103-CCPE46-cond1
7	0.0	0.0	0.0	0.0	0.28800022728471364	USER>ASSISTANT	CCPE103-CCPE46-cond1
8	0.0	0.0	0.0	0.0		ASSISTANT>USER	CCPE103-CCPE46-cond1
9	0.0	0.0	0.0	0.0		USER>ASSISTANT	CCPE103-CCPE46-cond1
10	0.0	0.20801257358446093	0.0	0.0	0.2274225879486449	ASSISTANT>USER	CCPE103-CCPE46-cond1
11	0.0	0.052414241836095915	0.0	0.0	0.2274225879486449	USER>ASSISTANT	CCPE103-CCPE46-cond1
12	0.0	0.0	0.0	0.0	0.11243840975786001	ASSISTANT>USER	CCPE103-CCPE46-cond1
13	0.0	0.0	0.0	0.0	0.45353929926677217	USER>ASSISTANT	CCPE103-CCPE46-cond1
14	0.13130643285972254	0.2581988897471611	0.0	0.0	0.44533741701268903	ASSISTANT>USER	CCPE103-CCPE46-cond1
0	0.0	0.0	0.0	0.0	0.16576453916970868	ASSISTANT>USER	CCPE107-CCPE148-cond1
1	0.0	0.0	0.0	0.0	0.1169353041631116	USER>ASSISTANT	CCPE107-CCPE148-cond1
2	0.19178532059415365	0.22941573387056174	0.0	0.0	0.5016395004053141	ASSISTANT>USER	CCPE107-CCPE148-cond1
3	0.2807449625374386	0.30237157840738177	0.0	0.0	0.3310614421777536	USER>ASSISTANT	CCPE107-CCPE148-cond1
4	0.33806170189140655	0.16903085094570328	0.0	0.0	0.17576478255939842	ASSISTANT>USER	CCPE107-CCPE148-cond1
5	0.3442651863295481	0.41522739926869984	0.19518001458970666	0.19518001458970666	0.30816243545068633	USER>ASSISTANT	CCPE107-CCPE148-cond1
6	0.4216370213557839	0.3509312031717982	0.0	0.0	0.4721368840715022	ASSISTANT>USER	CCPE107-CCPE148-cond1
7	0.6900655593423541	0.2857142857142857	0.0	0.0	0.19706789059424745	USER>ASSISTANT	CCPE107-CCPE148-cond1
8	0.0	0.2519763153394848	0.0	0.0	0.30862401875648127	ASSISTANT>USER	CCPE107-CCPE148-cond1
9	0.24759378423606918	0.2394737360356999	0.0	0.0	0.6000505830067048	USER>ASSISTANT	CCPE107-CCPE148-cond1
10	0.16081688022566926	0.25923792368260634	0.0	0.0	0.6235791091827407	ASSISTANT>USER	CCPE107-CCPE148-cond1
0	0.0	0.0563436169819011	0.0	0.0	0.43248722711480314	ASSISTANT>USER	CCPE10-CCPE210-cond1
1	0.10613237065158375	0.2309401076758503	0.0	0.0	0.7118421386338637	USER>ASSISTANT	CCPE10-CCPE210-cond1
2	0.03429971702850177	0.2864459496157732	0.0	0.0	0.7712953420641304	ASSISTANT>USER	CCPE10-CCPE210-cond1
3	0.09999999999999998	0.147087101353638	0.0	0.0	0.4032148450665377	USER>ASSISTANT	CCPE10-CCPE210-cond1
4	0.3407546684578648	0.47531266672322225	0.0	0.02998800719520336	0.4758579946391218	ASSISTANT>USER	CCPE10-CCPE210-cond1
5	0.15393726795176982	0.17177950029416048	0.0	0.0		USER>ASSISTANT	CCPE10-CCPE210-cond1
6	0.23904572186687872	0.23904572186687872	0.0	0.0		ASSISTANT>USER	CCPE10-CCPE210-cond1
7	0.11952286093343936	0.23904572186687872	0.0	0.0	0.27124958132887733	USER>ASSISTANT	CCPE10-CCPE210-cond1
8	0.0	0.15811388300841897	0.0	0.0	0.38626883282638436	ASSISTANT>USER	CCPE10-CCPE210-cond1
