time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
0	0.2311250817605121	0.3746343246326776	0.0	0.0	0.3868348001276829	A>B	phoneDialog40-phoneDialog965-condA
1	0.11322770341445956	0.2867696673382022	0.0	0.0	0.17641454778250365	B>A	phoneDialog40-phoneDialog965-condA
2	0.05488212999484517	0.10050378152592121	0.0	0.0	0.1636972316401537	A>B	phoneDialog40-phoneDialog965-condA
3	0.4688896803290271	0.5534541741391354	0.07664241743562071	0.07664241743562071	0.6626631165153338	B>A	phoneDialog40-phoneDialog965-condA
4	0.39327549443059523	0.5295341632869014	0.0	0.0	0.442786877062342	A>B	phoneDialog40-phoneDialog965-condA
5	0.0	0.1543033499620919	0.0	0.0	0.13990287000904655	B>A	phoneDialog40-phoneDialog965-condA
6	0.13608276348795434	0.15811388300841897	0.0	0.0	0.3428837958672677	A>B	phoneDialog40-phoneDialog965-condA
7	0.3339115355603141	0.5646839155919902	0.044721359549995794	0.08559209850218259	0.6753254965756812	B>A	phoneDialog40-phoneDialog965-condA
8	0.1767766952966369	0.1682316462276133	0.18856180831641267	0.18490006540840973	0.11597604857570387	A>B	phoneDialog40-phoneDialog965-condA
9	0.0	0.2886751345948129	0.0	0.0	0.09534453239035634	B>A	phoneDialog40-phoneDialog965-condA
10	0.36084391824351614	0.4082482904638631	0.0	0.0	0.2629099502324136	A>B	phoneDialog40-phoneDialog965-condA
11	0.37796447300922725	0.37796447300922725	0.0	0.0	0.3523575289466334	B>A	phoneDialog40-phoneDialog965-condA
12	0.2808882802059379	0.4382504900892777	0.060522753266880246	0.09078412990032037	0.3899633463010299	A>B	phoneDialog40-phoneDialog965-condA
13	0.21004201260420147	0.2581988897471611	0.0	0.0	0.3465054297210022	B>A	phoneDialog40-phoneDialog965-condA
14	0.0	0.0	0.0	0.0	0.18975149564137272	A>B	phoneDialog40-phoneDialog965-condA
15	0.7071067811865475	0.7071067811865475	0.0	0.0	0.26662447083900953	B>A	phoneDialog40-phoneDialog965-condA
16	0.0	0.0	0.0	0.0	0.23862773310179763	A>B	phoneDialog40-phoneDialog965-condA
0	0.3583333333333333	0.4313815301922885	0.0	0.0	0.6415580391830394	A>B	phoneDialog691-phoneDialog519-condA
1	0.5170907197968263	0.6413304730218139	0.03360514063549748	0.0327648791455327	0.7410392705715715	B>A	phoneDialog691-phoneDialog519-condA
